Quote_Id,Quote_Flag,PAR_SMOTE_RF_IG_15,AGG_SMOTE_RF_IG_15,PAR_SMOTE_RF_IG_21,AGG_SMOTE_RF_IG_21,PAR_EQ_RF_IG_15,AGG_EQ_RF_IG_15,PAR_AGG_RF_IG_21,AGG_EQ_RF_IG_21,PAR_SMOTE_DT_IG_15,AGG_SMOTE_DT_IG_15,PAR_SMOTE_DT_IG_21,AGG_SMOTE_DT_IG_21
940,0,0,0,0,0,0,0,0,0,0,0,0,0
941,0,0,0,0,0,0,0,0,0,0,0,0,0
943,0,0,0,0,0,0,0,0,0,0,0,0,0
944,0,0,0,0,0,0,0,0,0,0,0,0,0
947,0,0,0,0,0,0,0,0,0,0,0,0,0
948,0,0,0,0,0,0,0,0,0,0,0,0,0
960,0,0,0,0,0,0,0,0,0,0,0,0,0
962,1,1,1,1,1,1,1,1,1,1,1,1,1
965,0,0,0,0,0,0,0,0,0,0,0,0,0
966,1,1,1,1,1,1,1,1,1,1,1,1,1
967,1,1,1,1,0,1,1,1,1,1,1,0,0
970,1,0,0,1,0,0,0,0,0,0,0,0,0
975,0,0,0,0,0,0,0,0,0,0,0,0,0
976,1,1,1,1,0,1,1,1,0,1,1,1,1
977,0,0,0,0,0,0,0,0,0,0,0,0,0
978,1,1,1,1,1,1,1,1,1,1,1,1,1
981,1,1,1,1,0,1,1,1,1,1,1,0,0
984,1,1,1,1,0,1,1,1,1,1,1,1,1
985,1,1,1,1,1,1,1,1,1,1,1,1,1
986,0,0,0,0,0,0,0,0,0,0,0,0,0
987,1,0,1,1,1,1,0,1,1,1,1,1,1
988,0,0,0,0,0,0,0,0,0,0,0,0,0
993,1,1,0,1,0,1,0,1,1,0,1,0,0
995,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,1,0,0,1,0,0,0,0,0,0,0,0,0
1006,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,1,0,0,1,0,0,0,0,0,0,0,1,1
1010,1,1,1,1,1,1,1,1,1,1,1,1,1
1013,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,1,0,0,0,0,0,0,0,0,0,0,0,0
1015,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,1,0,0,1,0,0,0,0,0,0,0,0,1
1021,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,1,1,1,1,0,1,1,1,1,1,1,1,1
1025,1,0,0,1,1,0,1,1,0,0,1,1,1
1027,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,0,0,0,0,0,0,0,1,1,0,0,1,0
1037,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,1,0,0,1,0,0,0,0,0,0,0,1,1
1041,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,1,1,1,1,1,1,1,1,1,1,1,1,1
1049,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,0,0,0,0,0,0,0,0,0,0,0,0,0
1053,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,1,1,1,1,1,1,1,1,1,1,1,1,1
1059,1,1,1,1,1,1,1,1,1,1,1,1,1
1062,1,1,1,1,0,1,1,0,0,0,1,0,1
1065,1,1,1,1,1,1,1,1,1,1,0,1,1
1066,0,0,0,0,0,0,0,0,0,0,0,0,0
1067,1,1,1,1,0,1,1,1,1,1,1,0,0
1074,1,1,1,1,1,1,1,1,1,0,1,0,1
1076,0,0,0,0,0,0,0,0,1,0,0,0,0
1077,1,1,1,1,1,1,1,1,1,1,1,1,1
1078,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,0,0,0,0,0,0,0,0,0,0,0,0,0
1085,1,1,1,1,1,1,1,1,1,1,1,1,1
1088,1,0,0,0,0,0,0,0,0,0,0,0,0
1090,0,0,0,0,0,0,0,0,0,0,0,0,0
1092,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,1,1,1,1,1,1,1,1,1,1,1,1,1
1115,0,0,0,0,0,0,0,0,0,0,0,0,0
1116,1,0,0,1,1,1,0,0,0,0,0,0,1
1118,0,0,0,0,0,0,0,0,0,0,0,0,0
1119,0,0,0,0,0,0,0,1,0,0,1,0,1
1122,1,1,1,1,0,1,1,0,0,1,1,1,0
1124,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,1,1,1,1,1,1,1,1,1,1,1,1,1
1129,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,1,1,0,1,0,0,1,1,0,0,1,1,0
1133,1,1,1,1,1,1,1,1,1,1,1,1,1
1134,1,1,1,1,0,1,1,1,1,1,1,0,1
1149,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,0,0,0,0,0,0,0,0,0,0,0,0,0
1157,0,0,0,0,0,0,0,0,0,0,0,0,0
1158,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,0,0,0,0,0,0,0,0,0,0,0,0,0
1164,0,0,1,1,0,1,1,1,0,1,0,0,0
1165,1,1,1,1,1,1,1,1,1,1,1,1,1
1166,1,1,1,1,1,1,1,1,1,1,1,1,1
1169,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,0,0,0,0,0,0,0,0,0,0,0,0,0
1172,0,0,0,0,0,0,0,0,0,0,0,0,0
1173,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,0,0,0,0,0,0,0,0,0,0,0,0,0
1178,0,0,0,0,0,0,0,0,0,0,0,0,0
1179,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,1,1,1,1,0,1,1,1,1,1,1,1,1
1183,0,0,0,0,0,0,0,0,0,0,0,0,0
1187,1,1,1,1,1,1,1,1,1,1,1,1,1
1188,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1,1,1,1,0,1,1,1,1,1,1,1,1
1192,1,0,0,1,0,1,1,1,1,1,0,0,1
1193,0,0,0,0,0,0,0,0,0,0,0,0,0
1198,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,1,1,1,1,0,1,1,1,1,1,1,0,1
1209,1,1,1,1,0,1,1,1,1,1,1,1,1
1210,0,0,0,0,0,0,0,0,0,0,0,0,0
1218,0,0,0,0,0,0,0,0,0,0,0,0,0
